KATUZ_KOD;latitude;longitude
600024;50.37212277832967;12.821952862346881
600032;49.00078013431706;14.539305877644837
600041;49.30531120878924;16.656058396397853
600059;50.61671068542487;16.117789595889647
600075;49.031554842757274;15.126840930194357
600083;49.198822093070724;14.088390716879257
600091;50.56657950607229;13.540818662270338
600113;49.92203018796147;16.641866002740535
600121;49.7992858475181;18.528904726931625
600172;50.138574749838625;16.06415964563893
600199;50.11800520005523;16.053641026104327
600202;50.15989077544614;16.07629844506126
600229;49.277051877644546;14.315658301175382
600288;50.76336752507126;15.290129269085845
600300;49.70449905533843;18.09211094725583
600326;50.974501233544416;15.020811032366833
600369;50.20447994061458;12.963872426947637
600377;49.83899856373479;16.543175256046716
600407;49.04292249190692;17.007243976860092
600415;49.532134671139985;15.120091325418905
600423;49.43716751415364;15.821206892803998
600431;50.836671023126335;14.262570150195536
600440;50.821869294038905;14.267042892453665
600458;50.85097508923979;14.229367387519506
600466;49.609687702810994;14.579925340988968
600521;50.22495712484064;12.225780875924324
600601;50.009796737209996;14.727010609642383
600610;50.19214217651287;15.586030970144078
600636;49.128916878155486;15.7679523481125
600652;49.122296964808946;17.47946733385156
600661;49.737069943959355;17.26077071981852
600687;49.47590026742719;17.8191446416685
600695;49.28403829561782;16.697778374036293
600709;49.172619717039105;16.358558386420537
600717;49.39596781167833;12.863653813839258
600725;49.477853585961725;15.167040118835667
600733;49.493686471622425;15.182725277028393
600741;50.29696727201104;16.242507226839415
600768;49.08538330592851;16.02386234799229
600784;49.73307306177752;15.462449513849887
600792;49.749071983328456;15.470304136110252
600814;48.96965070437008;15.58901468651168
600831;50.47729054125608;14.936896689488389
600849;49.33394550103373;15.956071907305633
600857;49.669851122950256;16.46134435267042
600865;48.99217647831311;17.716164740267665
600873;49.01216816292772;15.492432849119526
600881;48.883103368774684;16.1791508195417
600890;50.20201844590678;15.56896288198015
600903;50.00509473138181;15.67613498316023
600938;49.93722378691242;14.966683399085126
600946;50.213642094026035;15.536926505257842
600954;49.982633636571784;16.88295105085878
600971;49.661121665954624;18.03591978125216
600989;50.14420552657347;16.577350810808277
601047;49.246140364646;17.413514197914157
601063;49.64273281089455;18.361994692105366
601101;50.335332796063405;15.605431224980478
601128;50.205352603668594;14.475665661159164
601144;49.29908642565898;15.387877359955834
601152;50.51748222845819;16.04415042866551
601179;49.120581448841286;14.071955115443426
601209;48.833931855752645;16.620263834493567
601217;49.89513442453341;13.955824228799036
601225;50.21826920263805;13.856605097406115
601233;50.44858797274543;13.729469600452859
601268;50.10452978664808;12.843879741173975
601292;49.94007568576338;15.07658439592201
601331;49.44959342461635;17.164925703129864
601349;49.196407519115425;15.090848074678588
601357;49.20986165117481;15.14276094170225
601365;50.78915573343636;15.14435658405297
601373;49.46233267173838;16.465788716939752
601390;49.33765928263452;13.158990564936719
601420;48.99504333371644;16.069589878741546
601462;50.302702266070845;15.29287610409158
601471;50.427393736462506;14.336018074131635
601501;50.44666476662832;15.116133372005795
601543;49.2991443333505;14.460305749826553
601586;49.31120098323239;15.26156254394357
601594;49.890063105659515;16.036734934982523
601608;50.5337340622624;15.444860118566453
601616;49.97680702190059;18.1447861592785
601641;49.578285172774066;12.690407312685823
601683;49.63968234910429;16.48400667041828
601705;50.49976953740449;14.766375284467212
601756;50.17413722029001;17.192087261293125
601799;49.63407923802456;16.65078854822021
601829;50.469493027215094;15.613429947908822
601837;50.442373937556475;15.573936426263574
601870;49.49976165966764;13.868310711858745
601888;50.058285201157254;13.9948751790568
601896;49.55358885900726;14.840295944999472
601918;49.437253350293396;16.379649407755405
601934;50.196183040285625;15.945188420897578
601942;50.13820634306922;15.917179398340062
601951;49.764428404848246;14.526166064418005
